Year,Total,Gas,Liquids,Solids,Gas Flaring,Total w/o cement and flaring,Cement Production,Per Capita,Total Co2 ,Total C Normalized,Total CO2 Normalized
1904,624,4,23,597,0,624,0,,2288.208,624000000,2288208000
1905,663,5,23,636,0,664,0,,2434.888,664000000,2434888000
1906,707,5,23,680,0,708,0,,2596.236,708000000,2596236000
1907,784,5,28,750,0,783,0,,2871.261,783000000,2871261000
1908,750,5,30,714,0,749,0,,2746.583,749000000,2746583000
1909,785,6,32,747,0,785,0,,2878.595,785000000,2878595000
1910,819,7,34,778,0,819,0,,3003.273,819000000,3003273000
1911,836,7,36,792,0,835,0,,3061.945,835000000,3061945000
1912,879,8,37,834,0,879,0,,3223.293,879000000,3223293000
1913,943,8,41,895,0,944,0,,3461.648,944000000,3461648000
1914,850,8,42,800,0,850,0,,3116.95,850000000,3116950000
1915,838,9,45,784,0,838,0,,3072.946,838000000,3072946000
1916,901,10,48,842,0,900,0,,3300.3,900000000,3300300000
1917,955,11,54,891,0,956,0,,3505.652,956000000,3505652000
1918,936,10,53,873,0,936,0,,3432.312,936000000,3432312000
1919,806,10,61,735,0,806,0,,2955.602,806000000,2955602000
1920,932,11,78,843,0,932,0,,3417.644,932000000,3417644000
1921,803,10,84,709,0,803,0,,2944.601,803000000,2944601000
1922,845,11,94,740,0,845,0,,3098.615,845000000,3098615000
1923,970,14,111,845,0,970,0,,3556.99,970000000,3556990000
1924,963,16,110,836,0,962,0,,3527.654,962000000,3527654000
1925,975,17,116,842,0,975,0,,3575.325,975000000,3575325000
1926,983,19,119,846,0,984,0,,3608.328,984000000,3608328000
1927,1062,21,136,905,0,1062,0,,3894.354,1062000000,3894354000
1928,1065,23,143,890,0,1056,10,,3872.352,1056000000,3872352000
1929,1145,28,160,947,0,1135,10,,4162.045,1135000000,4162045000
1930,1053,28,152,862,0,1042,10,,3821.014,1042000000,3821014000
1931,940,25,147,759,0,931,8,,3413.977,931000000,3413977000
1932,847,24,141,675,0,840,7,,3080.28,840000000,3080280000
1933,893,25,154,708,0,887,7,,3252.629,887000000,3252629000
1934,973,28,162,775,0,965,8,,3538.655,965000000,3538655000
1935,1027,30,176,811,0,1017,9,,3729.339,1017000000,3729339000
1936,1130,34,192,893,0,1119,11,,4103.373,1119000000,4103373000
1937,1209,38,219,941,0,1198,11,,4393.066,1198000000,4393066000
1938,1142,37,214,880,0,1131,12,,4147.377,1131000000,4147377000
1939,1192,38,222,918,0,1178,13,,4319.726,1178000000,4319726000
1940,1299,42,229,1017,0,1288,11,,4723.096,1288000000,4723096000
1941,1334,42,236,1043,0,1321,12,,4844.107,1321000000,4844107000
1942,1342,45,222,1063,0,1330,11,,4877.11,1330000000,4877110000
1943,1391,50,239,1092,0,1381,10,,5064.127,1381000000,5064127000
1944,1383,54,275,1047,0,1376,7,,5045.792,1376000000,5045792000
1945,1160,59,275,820,0,1154,7,,4231.718,1154000000,4231718000
1946,1238,61,292,875,0,1228,10,,4503.076,1228000000,4503076000
1947,1392,67,322,992,0,1381,12,,5064.127,1381000000,5064127000
1948,1469,76,364,1015,0,1455,14,,5335.485,1455000000,5335485000
1949,1419,81,362,960,0,1403,16,,5144.801,1403000000,5144801000
1950,1630,97,423,1070,23,1613,18,0.65,5914.871,1613000000,5914871000
1951,1767,115,479,1129,24,1747,20,0.69,6406.249,1747000000,6406249000
1952,1795,124,504,1119,26,1773,22,0.69,6501.591,1773000000,6501591000
1953,1841,131,533,1125,27,1816,24,0.69,6659.272,1816000000,6659272000
1954,1865,138,557,1116,27,1838,27,0.69,6739.946,1838000000,6739946000
1955,2042,150,625,1208,31,2014,30,0.74,7385.338,2014000000,7385338000
1956,2177,161,679,1273,32,2145,32,0.78,7865.715,2145000000,7865715000
1957,2270,178,714,1309,35,2236,34,0.79,8199.412,2236000000,8199412000
1958,2330,192,731,1336,35,2294,36,0.8,8412.098,2294000000,8412098000
1959,2454,206,789,1382,36,2413,40,0.83,8848.471,2413000000,8848471000
1960,2569,227,849,1410,39,2525,43,0.85,9259.175,2525000000,9259175000
1961,2580,240,904,1349,42,2535,45,0.84,9295.845,2535000000,9295845000
